original,hinsi,trend
は,助詞,-0.005702
。,記号,-0.004236
@,名詞,-0.003658
ｗ,記号,-0.003102
#,名詞,-0.002728
が,助詞,-0.002504
とか,助詞,-0.002487
回,名詞,-0.002477
:,名詞,-0.002384
ない,助動詞,-0.002190
　,記号,-0.002149
higumachan,名詞,-0.002075
725,名詞,-0.002075
の,助詞,-0.002043
から,助詞,-0.001842
けど,助詞,-0.001769
10,名詞,-0.001695
と,助詞,-0.001685
し,動詞,-0.001651
0,名詞,-0.001555
も,助詞,-0.001379
なぁ,助詞,-0.001367
13,名詞,-0.001320
呟き,動詞,-0.001275
前日,名詞,-0.001275
たら,助動詞,-0.001236
俺,名詞,-0.001231
確認,名詞,-0.001174
/,名詞,-0.001165
これ,名詞,-0.001120
以降,名詞,-0.001105
C,名詞,-0.001053
た,助動詞,-0.001027
RT,名詞,-0.001004
だろ,助動詞,-0.001000
ち,動詞,-0.000980
でも,助詞,-0.000972
時,名詞,-0.000970
する,動詞,-0.000962
まで,助詞,-0.000936
なら,助動詞,-0.000931
･`),名詞,-0.000920
pinkroot,名詞,-0.000920
僕,名詞,-0.000896
連絡,名詞,-0.000863
ゅ,名詞,-0.000859
2,名詞,-0.000855
どう,副詞,-0.000834
】,記号,-0.000819
【,記号,-0.000819
を,助詞,-0.000789
5,名詞,-0.000775
りん,副詞,-0.000775
こと,名詞,-0.000723
PxP,名詞,-0.000698
気,名詞,-0.000676
.,名詞,-0.000674
者,名詞,-0.000669
こ,動詞,-0.000654
くま,名詞,-0.000654
だっ,助動詞,-0.000642
無い,形容詞,-0.000629
かわいい,形容詞,-0.000624
なんか,フィラー,-0.000607
ss,名詞,-0.000585
?,名詞,-0.000585
時間,名詞,-0.000580
また,接続詞,-0.000573
T,名詞,-0.000573
見,動詞,-0.000571
ば,助詞,-0.000569
!,名詞,-0.000565
･･･,名詞,-0.000565
てる,動詞,-0.000561
-,名詞,-0.000553
欲しい,形容詞,-0.000540
感じ,名詞,-0.000516
まあ,副詞,-0.000508
